AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name]
*,AMERPSOFT Themes,10,ET,AMERP,,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,
*,AMERPSOFT Themes,10,D,,,,,,,,System Configurator,ALL,"SELECT * FROM AD_SysConfig WHERE  Name IN ('ZK_THEME', 'ZK_LOGO_LARGE', 'ZK_LOGO_SMALL','ZK_BROWSER_TITLE', 'ZK_BROWSER_ICON','ZK_THEME_USE_FONT_ICON_FOR_IMAGE')",,,,,,,,System Administrator,,,,,,,,,
