AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],AD_Table_ID[Name],AD_Window_ID[Name],AD_Reference_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Role_ID[Name],AD_Workbench_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name]
AMERPSOFT LCO Withholding,210,M,,Tax Rate,,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,220,D,,,System Configurator,,,,,,,,ALL,SELECT * FROM AD_SysConfig WHERE Name='LCO_USE_WITHHOLDINGS',,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,300,M,,Business Partner,,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,310,M,,Product,,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,320,REF,,Document Type,,,C_DocType DocBaseType,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,330,REF,,Document Type,,,C_DocType SubTypeWH,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,340,M,,Document Type,,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,350,SQL,,,Reference List,,,,,,,,Postgres,"INSERT INTO ad_ref_list (ad_ref_list_id, ad_client_id, ad_org_id, isactive, created, createdby, updated, updatedby, value, name, description, ad_reference_id, entitytype, ad_ref_list_uu)
SELECT 1000113,0,0,'Y','2016-04-22 15:30:59.881','0','2016-06-06 16:08:18.783',0,'APW','AP Invoice Vendor Withholding (APW)','',183,'D','6292ac93-4da8-43db-90e2-a0a2ce7b93ec'
WHERE NOT EXISTS (SELECT 1 FROM ad_ref_list WHERE  AD_Ref_List_ID=1000113);",,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,360,T,,,Invoice Withholding Document,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,370,T,,,Invoice Withholding Document Lines,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,380,REF,,Invoice (Vendor VAT WithHolding),,,C_TaxCategory MUNICIPAL WithHolding,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,390,REF,,Invoice (Vendor VAT WithHolding),,,C_TaxCategory Seniat ISLR WithHolding,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,400,REF,,Invoice (Vendor VAT WithHolding),,,C_TaxCategory Seniat VAT WithHolding,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,410,M,,Invoice (Vendor VAT WithHolding),,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,420,M,,Invoice (Vendor Municipal  WithHolding),,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
AMERPSOFT LCO Withholding,430,T,,Invoice (Vendor),Payments VIEW,,,,,,,,ALL,,,,,,,System Administrator,,,,,,,,,,Product Info
